Name,Tier,Type,Description,Motives and Tactics,Difficulty,Thresholds,HP,Stress,ATK,Attack,Range,Damage,Experience,Feature 1 Name,Feature 1 Text,Feature 2 Name,Feature 2 Text,Feature 3 Name,Feature 3 Text,Feature 4 Name,Feature 4 Text,Feature 5 Name,Feature 5 Text,Feature 6 Name,Feature 6 Text,Feature 7 Name,Feature 7 Text
Landshark,2,Bruiser,A quadrupedal shark that swims through the ground.,"Burrow, burst out of the ground, circle prey",14,14/25,7,3,+2,Toothy Maw,Very Close,2d10+2 phy,"Subterranean +3, Bloodthirsty +2",Burrowing,"The Landshark can move through the ground as easily as over it. When the Landshark moves, it can choose to burrow or surface. While underground, the Landshark has resistance to all damage but can’t attack.",Thick-Skinned,"When the Landshark would be forced to mark any number of HP, you can mark an equal number of Stress instead.",Rending Chomp,"When the Landshark makes a successful attack against a PC within Melee range, you can spend a Fear to force the target to mark an Armor Slot without receiving its benefi ts (they can still use armor to reduce the damage).",,,,,,,,
Landshark Behemoth,2,Solo,A landshark that’s lived long enough to become a large burrowing monstrosity with steely hide and razor-sharp teeth.,"Bite, burrow, burst out of the ground",15,15/28,10,4,+2,Toothy Maw,Very Close,2d12+6 phy,"Subterranean +4, Bloodthirsty +3",Relentless (3),The Behemoth can be spotlighted up to three times per GM turn. Spend Fear as usual to spotlight it.,Deep Diver,"The Behemoth can move through the ground as easily as over it. When the Behemoth moves, it can choose to burrow or surface. While underground, the Behemoth is immune to damage but can’t attack.",Steel-Skinned,All damage dealt to the Behemoth is reduced by one threshold.,Forceful Eruption,"The Behemoth erupts from the ground, forcing each PC within Very Close range to succeed on an Agility Reaction Roll or be knocked over, becoming Vulnerable until they make an action roll. For each PC made Vulnerable in this way, you gain a Fear. Daggerheart SRD 125",,,,,,
Masked Thief,2,Skulk,A cunning thief with acrobatic skill and a fl air for the dramatic.,"Evade, hide, pilfer, profi t",14,8/17,4,5,+3,Backsword,Melee,2d8+3 phy,Acrobatics +3,Quick Hands,"Make an attack against a target within Melee range. On a success, deal 1d8+2 physical damage and the Thief steals one item or consumable from the target’s inventory.",Escape Plan,"Mark a Stress to reveal a snare trap set anywhere on the battlefi eld by the Thief. All targets within Very Close range of the trap must succeed on an Agility Reaction Roll (13) or be pulled off their feet and suspended upside down. A target is Restrained and Vulnerable until they break free, ending both conditions, with a successful Finesse or Strength Roll (13). MERCHANT BARON Tier  Social An accomplished merchant with a large operation under their command. Motives & Tactics: Abuse power, gather resources, mobilize minions Diffi culty: 15 | Thresholds: 9/19 | HP: 5 | Stress: 3 ATK: −2 | Rapier: Melee | 1d6+2 phy Experience: Nobility +2, Trade +2 FEATURES",Everyone Has a Price,"Spend a Fear to off er a target a dangerous bargain for something they want or need. If used on a PC, they must make a Presence Reaction Roll (17). On a failure, they must mark 2 Stress or take the deal.",The Best Muscle Money Can Buy,"Once per scene, mark a Stress to summon 1d4+1 Tier 1 adversaries, who appear at Far range, to enforce the Baron’s will.",,,,,,
Minotaur Wrecker,2,Bruiser,A massive bull-headed fi rbolg with a quick temper.,"Consume, gore, navigate, overpower, pursue",16,14/27,7,5,+2,Battleaxe,Very Close,2d8+5 phy,Navigation +2,Ramp Up,"You must spend a Fear to spotlight the Minotaur. While spotlighted, they can make their standard attack against all targets within range.",Charging Bull,"Mark a Stress to charge through a group within Close range and make an attack against all targets in the Minotaur’s path. Targets the Minotaur succeeds against take 2d6+8 physical damage and are knocked back to Very Far range. If a target is knocked into a solid object or another creature, they take an extra 1d6 damage (combine the damage).",Gore,"Make an attack against a target within Very Close range, moving the Minotaur into Melee range of them. On a success, deal 2d8 direct physical damage. 126 Daggerheart SRD",,,,,,,,
Mortal Hunter,2,Leader,"An undead fi gure wearing a heavy leather coat, with searching eyes and a casually cruel demeanor.","Devour, hunt, track",16,15/27,6,4,+5,Tear at Flesh,Very Close,2d12+1 phy,Bloodhound +3,Terrifying,"When the Hunter makes a successful attack, all PCs within Far range lose a Hope and you gain a Fear.",Deathlock,Spend a Fear to curse a target within Very Close range with a necrotic Deathlock until the end of the scene. Attacks made by the Hunter against a Deathlocked target deal direct damage. The Hunter can only maintain one Deathlock at a time.,Inevitable Death,Mark a Stress to spotlight 1d4 allies. Attacks they make while spotlighted in this way deal half damage.,Rampage,"Countdown (Loop 1d6). When the Hunter is in the spotlight for the fi rst time, activate the countdown. When it triggers, move the Hunter in a straight line to a point within Far range and make an attack against all targets in their path. Targets the Hunter succeeds against take 2d8+2 physical damage.",,,,,,
Ravenous Mockery,2,Standard,A shapeshifting predator that assumes the appearance of inanimate objects to lure unwary prey into its threat range.,"Ambush, lie in wait, swallow without chewing,",14,8/19,4,4,+1,Gnashing Teeth,Melee,2d6+4 phy,"Mimicry +5, Hungry +3",Tongue Attack,"Mark a Stress to attack a creature within Close range. On a success, the target is pulled into Melee range with the Mockery and Restrained until they escape with a successful Strength Roll, and you can spend a Fear to activate the Mockery’s Devour feature against the target.",Devour,"Attack a target within Melee range. On a success, the Mockery Swallows the target. While Swallowed, the target is Restrained and marks a HP when the Mockery is spotlighted. The Mockery disgorges all Swallowed creatures when it takes Major or Severe damage.",Never Just One,"Spend a Fear to reveal that another object on the battlefi eld has been a Ravenous Mockery the whole time, then immediately spotlight it.",,,,,,,,
Rust Eater,2,Standard,A pony-sized cockroach coated in a corrosive chitin that turns metal into rust.,"Avoid detection, eat rust, sniff out metal",12,10/18,5,2,+1,Bite,Melee,2d6+4 phy,Snuffl e +3,Stifl ing Pheromones,A PC who makes an action roll within Very Close range of the Rust Eater must succeed on an Instinct Reaction Roll or mark a Stress.,Rust Touch,"The Rust Eater’s carapace is coated in a corrosive acid that pits and rusts metal. When a PC within Melee range of the Rust Easter succeeds on an attack against it with a metal weapon, reduce the weapon’s damage die by one step (for example, d8 to d6 or d6 to d4). If a weapon’s damage die is reduced below a d4, the weapon crumbles into rust. The Rust Eater then devours the rust pile and clears a HP.",,,,,,,,,,
Scarecrow,2,Standard,"A bundle of straw bound into a humanoid shape, clothed in rags, and animated by a trapped soul.","Pull yourself together, scratch and claw",15,7/15,4,3,+1,Sickle,Melee,2d6+1 phy,"Birds +2, Fields +2",Made of Straw,The Scarecrow has resistance to physical damage but takes double damage from fi re.,Terror Vision,"Spend a Fear to have the Scarecrow lock eyes with a PC within Very Close range, dealing 2d8 magic damage and making them Vulnerable until they roll with Hope.",,,,,,,,,,
Secret-Keeper,2,Leader,A clandestine leader with a direct channel to the Fallen Gods.,"Amass great power, plot, take command",16,13/26,7,4,+3,Sigil-laden Staff,Far,2d12 mag,"Coercion +2, Fallen Lore +2",Seize Your Moment,Spend 2 Fear to spotlight 1d4 allies. Attacks they make while spotlighted in this way deal half damage.,Our Master’s Will,"When you spotlight an ally within Far range, mark a Stress to gain a Fear.",Summoning Ritual,"Countdown (6). When the Secret-Keeper is in the spotlight for the fi rst time, activate the countdown. When they mark HP, tick down this countdown by the number of HP marked. When it triggers, summon a Minor Demon who appears at Close range.",Fallen Hounds,"Once per scene, when the Secret- Keeper marks 2 or more HP, you can mark a Stress to summon a Demonic Hound Pack, which appears at Close range and is immediately spotlighted.",,,,,,
Shark,2,Bruiser,"A large aquatic predator, always on the move.","Find the blood, isolate prey, target the weak",14,14/28,7,3,+2,Toothy Maw,Very Close,2d12+1 phy,Sense of Smell +3,Terrifying,"When the Shark makes a successful attack, all PCs within Far range lose a Hope and you gain a Fear.",Rending Bite,"When the Shark makes a successful attack, the target must mark an Armor Slot without receiving its benefi ts (they can still use armor to reduce the damage). If they can’t mark an Armor Slot, they must mark an additional HP.",Blood in the Water,"When a creature within Close range of the Shark marks HP from another creature’s attack, you can mark a Stress to immediately spotlight the Shark, moving them into Melee range of the target and making a standard attack. Daggerheart SRD 127",,,,,,,,
Siren,2,Skulk,A half-fi sh person with shimmering scales and an irresistible voice.,"Consume, lure prey, subdue with song",14,9/18,5,3,+2,Distended Jaw Bite,Melee,2d6+3 phy,Song Repertoire +3,Captive Audience,"If the Siren makes a standard attack against a target Entranced by their song, the attack deals 2d10+1 damage instead of their standard damage.",Enchanting Song,"Spend a Fear to sing a song that aff ects all targets within Close range. Targets must succeed on an Instinct Reaction Roll or become Entranced until they mark 2 Stress. Other Sirens within Close range of the target can mark a Stress to each add a +1 bonus to the Diffi culty of the reaction roll. While Entranced, a target can’t act and is Vulnerable.",,,,,,,,,,
Spectral Archer,2,Ranged,"A ghostly fi ghter with an ethereal bow, unable to move on while their charge is vulnerable.","Move through solid objects, stay out of the",13,6/14,3,3,+3,Longbow,Far,2d10+2 phy,Ancient Knowledge +2,Ghost,The Archer has resistance to physical damage. Mark a Stress to move up to Close range through solid objects.,Pick Your Target,"Spend a Fear to make an attack within Far range against a PC who is within Very Close range of at least two other PCs. On a success, the target takes 2d8+12 physical damage.",,,,,,,,,,
Spectral Captain,2,Leader,A ghostly commander leading their troops beyond death.,"Move through solid objects, rally troops,",16,13/26,6,4,+3,Longbow,Far,2d10+3 phy,Ancient Knowledge +3,Ghost,The Captain has resistance to physical damage. Mark a Stress to move up to Close range through solid objects.,Unending Battle,Spend 2 Fear to return up to 1d4+1 defeated Spectral allies to the battle at the points where they fi rst appeared (with no marked HP or Stress).,Hold Fast,"When the Captain’s Spectral allies are forced to make a reaction roll, you can mark a Stress to give those allies a +2 bonus to the roll.",Momentum,"When the Captain makes a successful attack against a PC, you gain a Fear. 128 Daggerheart SRD",,,,,,
Spectral Guardian,2,Standard,"A ghostly fi ghter with spears and swords, anchored by duty.","Move through solid objects, protect treasure,",15,7/15,4,3,+1,Spear,Very Close,2d8+1 phy,Ancient Knowledge +2,Ghost,The Guardian has resistance to physical damage. Mark a Stress to move up to Close range through solid objects.,Grave Blade,"Spend a Fear to make an attack against a target within Very Close range. On a success, deal 2d10+6 physical damage and the target must mark a Stress.",,,,,,,,,,
Sprite,2,Minion,A tiny winged warrior that attacks trespassers with poison-tipped arrows.,"Avoid detection, let the poison do its work,",13,None,1,1,+0,Needle-Sharp Arrows,Close,5 phy,"Stealth +2, Vengeance +2",Minion (),"The Sprite is defeated when they take any damage. For every 5 damage a PC deals to the Sprite, the PC defeats an additional Minion within range the attack would succeed against.",Art of Invisibility,Spend a Fear to make the Sprite Hidden until they attack.,Dream Petal Poison,"When the Sprite succeeds on a standard attack, you can spend a Fear to make the target Sleepy until the target takes damage. While Sleepy, the target must make a Presence Reaction Roll before they make an action roll. On a failure, they must mark 2 Stress or fall asleep until they take damage. SPY Tier  Social A skilled espionage agent with a knack for being in the right place to overhear secrets. Motives & Tactics: Cut and run, disguise appearance, eavesdrop Diffi culty: 15 | Thresholds: 8/17 | HP: 4 | Stress: 3 ATK: −2 | Dagger: Melee | 2d6+3 phy Experience: Espionage +3 FEATURES",Gathering Secrets,Spend a Fear to describe how the Spy knows a secret about a PC in the scene.,Fly on the Wall,"When a PC or group is discussing something sensitive, you can mark a Stress to reveal that the Spy is present in the scene, observing them. If the Spy escapes the scene to report their fi ndings, you gain 1d4 Fear.",,,,
Stone Titan,2,Solo,A gray-skinned goliath who lives underground and specializes in crafting powerful items inlaid with magical runes.,"Blend into the rocks, craft and contemplate,",17,17/32,5,5,+3,Stone Hammer,Very Close,3d6+8 phy,"Crafting +3, Runes +3",Relentless (3),The Titan can be spotlighted up to three times per GM turn. Spend Fear as usual to spotlight them.,Skillful Strike,"Before the Titan makes an attack, you can mark a Stress and roll a d6. On a result of 3 or higher, the target’s Evasion is halved against this attack.",Sunlight Sickness,"When the Titan fi rst appears above ground, roll a d4. Mark a number of Stress equal to the result. The Titan gains a bonus to their attack and damage rolls equal to the number of Stress marked.",Hammer Smash,"When a PC marks HP from the Titan’s standard attack, you can spend a Fear to force the target to mark an Armor Slot without gaining its benefi ts (they can still use armor to reduce the damage).",,,,,,
Stonewraith,2,Skulk,"A prowling hunter, like a slinking mountain lion, with a slate-gray stone body.","Defend territory, isolate prey, stalk",13,11/22,6,3,+3,Bite and Claws,Melee,2d8+6 phy,Stonesense +3,Stonestrider,"The Stonewraith can move through stone and earth as easily as air. While within stone or earth, they are Hidden and immune to all damage.",Rocky Ambush,"While Hidden, mark a Stress to leap into Melee range with a target within Very Close range. The target must succeed on an Agility or Instinct Reaction Roll (15) or take 2d8 physical damage and become temporarily Restrained.",Avalanche Roar,Spend a Fear to roar while within a cave and cause a cave-in. All targets within Close range must succeed on an Agility Reaction Roll (14) or take 2d10 physical damage. The rubble can be cleared with a Progress Countdown (8).,Momentum,"When the Stonewraith makes a successful attack against a PC, you gain a Fear.",,,,,,
Triceratops,2,Bruiser,A large dinosaur that has an armored frill and three horns.,"Eat ferns, move in herds for protection, patrol",15,14/28,7,5,+2,Horns,Very Close,2d10+4 phy,Defender +3,Leathery Hide,"When the Triceratops would be forced to mark HP, you can mark any number of Stress instead of an equal number of HP.",Tail Swipe,Mark a Stress to choose up to three targets within Very Close range. Each target must make an Agility Reaction Roll. Targets who fail take 5d6 physical damage. Targets who succeed take half damage.,Bull Rush,"Mark a Stress to choose a target within Close range. The Triceratops moves into Melee range with the target and makes an attack. On a success, deal 3d10 direct physical damage.",,,,,,,,
Tyrannosaurus,2,Bruiser,A huge carnivorous dinosaur that walks on two legs.,"Break through the treeline, eat, stomp around",15,14/28,7,5,+2,Mighty Jaws,Very Close,2d10+4 phy,Predator +3,Earth-Shaking Roar,"Spend a Fear to force each PC within Close range to make a Presence Reaction Roll. On a failure, they must choose to lose a Hope or mark 1d4 Stress.",Stomp,"Mark a Stress to attack a target within Melee range. On a success, the target takes 3d12 direct physical damage.",Crushing Bite,"When the Tyrannosaurus makes a successful standard attack, you can spend a Fear to force the target to mark an additional HP. Daggerheart SRD 129",,,,,,,,
Urco,2,Standard,A black-furred hound from beyond the veil of death that portends death and feeds on fear.,"Feed, frighten, hunt",15,9/18,4,3,+1,Black Fang,Melee,2d8+4 mag,"Omens +3, Stealth +3",Fearmonger,"When a PC within Very Close range fails with Hope, you gain a Fear.",Terror-Fueled,The Urco gains a bonus to attack and damage rolls equal to the number of Fear you have.,Fear Eater,"Spend any number of Fear to clear the same number of Stress. If the Urco has no marked Stress, you can spend any number of Fear to clear the same number of HP.",Baleful Gaze,"When the Urco takes damage from an attack, you can spend a Fear to cause the attacker’s damage thresholds to gain a −1 penalty until the end of the scene. This eff ect can stack.",,,,,,
Valdenhax,2,Leader,"A malevolent forest hag who has long, mossy hair and fl ies through the air with an oversized mortar and pestle.","Collect souls, fl y, vex trespassers",16,12/24,6,4,+2,Giant Stone Pestle,Melee,2d8+2 phy,Witchcraft +3,"To Me, My Pretties","Once per scene, summon 2d4 Tier 2 Hordes, which appear at Far range. You gain a Fear for each Horde summoned in this way.",Shadow Strangler,"Mark a Stress to attack a target within Far range. On a success, the shadow of the Valdenhax’s hand stretches across the ground until it grasps the target’s shadow and drains their essence. The target marks 1d4 Stress, and you gain an equal number of Fear.",Corpse Whisperer,"Spend a Fear to have the Valdenhax call out to the lingering spirit of a fallen ally within Close range. Roll a d6. On an even result, the Valdenhax resurrects the ally with half its HP cleared. On an odd result, the Valdenhax absorbs the dregs of its life force and clears a Stress.",Vexing Word,"After a PC makes a roll, you can mark a Stress to force them to reroll it. This feature can’t be used if the PC critically succeeds. 130 Daggerheart SRD",,,,,,
War Wizard,2,Ranged,A battle-hardened mage trained in destructive magic.,"Develop new spells, seek power,",16,11/23,5,6,+4,Staff,Far,2d10+4 mag,"Magical Knowledge +2, Strategize +2",Battle Teleport,"Before or after making a standard attack, you can mark a Stress to teleport to a location within Far range.",Refresh Warding Sphere,Mark a Stress to refresh the Wizard’s “Warding Sphere” reaction.,Eruption,Spend a Fear and choose a point within Far range. A Very Close area around that point erupts into impassable terrain. All targets within that area must make an Agility Reaction Roll (14). Targets who fail take 2d10 physical damage and are thrown out of the area. Targets who succeed take half damage and aren’t moved.,Arcane Artillery,Spend a Fear to unleash a precise hail of magical blasts. All targets in the scene must make an Agility Reaction Roll. Targets who fail take 2d12 magic damage. Targets who succeed take half damage.,Warding Sphere,"When the Wizard takes damage from an attack within Close range, deal 2d6 magic damage to the attacker. This reaction can’t be used again until the Wizard refreshes it with their “Refresh Warding Sphere” action.",,,,
Adult Flickerfly,3,Solo,A winged insect the size of a large house with iridescent scales and wings that move too fast to track.,"Collect shiny things, hunt, nest, swoop",17,20/35,12,6,+3,Wing Slash,Very Close,3d20 phy,,Relentless (4),The Flickerfl y can be spotlighted up to four times per GM turn. Spend Fear as usual to spotlight them.,Never Misses,"When the Flickerfl y makes an attack, the target’s Evasion is halved against the attack.",Deadly Flight,"While fl ying, the Flickerfl y can move up to Far range instead of Close range before taking an action.",Whirlwind,"Spend a Fear to whirl, making an attack against all targets within Very Close range. Targets the Flickerfl y succeeds against take 3d8 direct physical damage.",Mind Dance,"Mark a Stress to create a magically dazzling display that grapples the minds of nearby foes. All targets within Close range must make an Instinct Reaction Roll. For each target who failed, you gain a Fear and the Flickerfl y learns one of the target’s fears.",Hallucinatory Breath,"Countdown (Loop 1d6). When the Flickerfl y takes damage for the fi rst time, activate the countdown. When it triggers, the Flickerfl y breathes hallucinatory gas on all targets in front of them up to Far range. Targets must make an Instinct Reaction Roll or be tormented by fearful hallucinations. Targets whose fears are known to the Flickerfl y have disadvantage on this roll. Targets who fail lose 2 Hope and take 3d8+3 direct magic damage.",Uncanny Refl exes,"When the Flickerfl y takes damage from an attack within Close range, you can mark a Stress to take half damage."
Archmage,3,Solo,A seeker of secret knowledge hidden away in a tome-fi lled tower.,"Corrupt, destroy, overwhelm with evil power",18,24/45,5,8,+5,Archmage’s Greatstaff,Far,3d10 mag,Esoterica +4,Relentless (3),The Archmage can be spotlighted up to three times per GM turn. Spend Fear as usual to spotlight them.,Orbiting Aegis,"When the Archmage appears, they conjure six discs of magical energy that orbit around them. Place a d6 Aegis Die on this stat block with the 6 value facing up. When a PC makes a successful attack against the Archmage, roll a d6. If the result is equal to or less than the value of the Aegis Die, tick the Aegis Die down and ignore the damage. A PC can make a Knowledge Roll to tick down the Aegis Die by 1 on a success or by 2 on a success with Hope.",Force Salvo,"Spend any number of Fear and roll that many d4s. The Archmage unleashes a number of magical homing force bolts equal to the total result. For each bolt, a creature within Far range marks a HP. The same creature can be targeted by up to three force bolts.",Fireball,Mark any number of Stress to target the same number of PCs within Far range. Each target must succeed on an Agility Reaction Roll or take 4d10 magic damage.,Counterspell,"When a PC succeeds on a Spellcast Roll, you can spend a Fear to have the Archmage make a reaction roll with a Diffi culty equal to the Spellcast Roll’s result. On a success, the PC’s Spellcast Roll fails instead, and you place a token on this stat block. Using this feature again costs additional Fear equal to the number of tokens on this stat block. You can’t Counterspell a critical success. CATRIN Tier  Social A lavishly adorned skeleton that has an endless appetite for gold. Motives & Tactics: Dominate the conversation, seek attention, steal everything Diffi culty: 17 | Thresholds: 20/32 | HP: 5 | Stress: 6 ATK: +3 | Spirit Flame: Far | 3d8+5 mag Experience: Opulence +2, Storyteller +2 FEATURES",Attracted to Wealth,PCs carrying at least a bag of gold gain advantage on Presence Rolls made to infl uence the Catrin.,The Weight of Opulence,"Spend a Fear to turn the Catrin’s gaze toward the PC carrying the most gold. The target must succeed on an Instinct Reaction Roll or lose a Hope for each bag of gold they’re carrying. If the PC loses their last Hope or has no Hope to lose, they mark Stress instead."
Chimera,3,Bruiser,"A giant fi re-breathing monster that has a lion’s head, a goat’s body, and a serpent’s tail.","Play with food, prowl territory, slay cattle",17,22/40,9,5,+5,Claws,Melee,3d12 phy,Predator +3,Rending Jaws,"When the Chimera makes a successful attack against a PC, the target must mark 2 Armor Slots to reduce the severity by one threshold.",Double Claw,"Mark a Stress to make two standard attacks. If both attacks succeed against the same target, combine the damage.",Breath of Fire,Spend a Fear to target up to three PCs in front of the Chimera within Close range. Each target must make an Agility Reaction Roll (20). Targets who fail take 3d12 magic damage. Targets who succeed must choose to mark either an Armor Slot or a Stress.,Serpent Strike,"When a PC within Close range targets the Chimera with an attack, you can mark a Stress to attack the PC fi rst. On a success, deal 4d4+10 physical damage and Poison them until their next rest or they succeed on a Knowledge Roll (20). While Poisoned, the target must roll a d6 before they make an action roll. On a result of 3 or lower, they must mark a Stress.",,,,,,
Crimson Lepus,3,Solo,A red-eyed rabbit that thinks only of murder.,"Be cute, go for the throat, hop around",18,20/35,10,6,+3,Leaping Bite,Very Close,3d20 phy,Vicious +4,Relentless (3),The Lepus can be spotlighted up to three times per GM turn. Spend Fear as usual to spotlight it.,“Awww...”,"When the Lepus fi rst appears, it is Too Cute. To attack a Too Cute creature, a PC must succeed on an Instinct Reaction Roll (20). Clear the Too Cute condition if a PC deals damage to the Lepus or if the Lepus attacks a PC.",Terrifying,"When the Lepus makes a successful attack, all PCs within Close range lose a Hope, and you gain a Fear.",Leaping Jugular Strike,"Spend a Fear to have the Lepus leap into Melee range of a target within Far range and make an attack against them. On a success, deal 3d20 direct physical damage. If the target marks HP from this attack, they become Vulnerable until they clear a HP.",Evasive,"When the Lepus would take damage, roll a d6. On a 4 or higher, halve the damage. If the damage was already halved, the Lepus takes no damage.",“Run Away!”,"When a PC with no Hope takes the spotlight within Very Far range of the Lepus, the PC must succeed on a Presence Reaction Roll or use their action to fl ee the battlefi eld until they spend a Hope to return. 132 Daggerheart SRD",,
Cryptimoth,3,Skulk,A large red-eyed moth creature that walks upright and portends mysterious or evil events.,"Echolocate, fl y silently, melt into the shadows",14,16/30,5,3,+2,Claws,Melee,3d8+5 phy,Dark Omens +3,Terrifying,"When the Cryptimoth makes a successful attack, all PCs within Close range lose a Hope, and you gain a Fear.",Psychic Screech,Spend 2 Fear to have the Cryptimoth unleash a burst of psychic energy that causes each PC within Far range to suff er visions of their horrifying fate. Each target must make an Instinct Reaction Roll (16). Targets who fail take 3d8 direct magic damage and become Vulnerable until their next rest. Targets who succeed must mark a Stress or take half damage.,Shadow Swarm,Spend a Fear to have the Cryptimoth conjure a swarm of mothlike shadow creatures within Far range. The swarm fi lls a Close range area and blocks line of sight. Creatures that aren’t Cryptimoths are Vulnerable while inside that area and must mark a Stress to move through it. A PC can dispel the swarm with a successful Spellcast Roll (12).,Paranoia Glare,"Spend a Fear to have the Cryptimoth gaze into the eyes of a PC within Close range and make them Paranoid. While Paranoid, the PC is suspicious of other PCs and can’t Help an Ally or take part in Tag Team Rolls. To clear this condition, the PC must succeed on an Instinct Roll (16) or participate in the Prepare downtime move with one or more members of their party during a rest.",,,,,,
Cursed Merfolk,3,Standard,"A half-fi sh, half-human creature psychically bound to serve the Deep Dwellers.","Separate enemies, strike from the shadows,",16,18/35,5,4,+3,Chained Trident,Far,3d6 phy,Aquatic +3,Fish-Tailed,The Merfolk is Vulnerable out of the water.,Gang Up,The Merfolk gains a +2 bonus to attack rolls against targets within Melee range of one or more allies.,“Get Over Here!”,"When the Merfolk makes a successful standard attack against a target beyond Melee range, you can mark a Stress to pull them into Melee range. If you do, you can spend a Fear to make a standard attack with advantage against the target.",,,,,,,,
Deep Dweller,3,Leader,A huge psychic lamprey that has pitch-black eyes and toxic tentacles.,"Abuse power, seek worship, stalk sunken ruins",17,22/42,6,6,+5,Teeth & Tentacles,Close,3d10+4 phy,"Ancient Mysteries +2, Dark Water +2",Psychic Blast,Spend a Fear to choose up to three targets within Close range and force them to make an Instinct or Knowledge Reaction Roll. Targets who succeed mark a Stress. Targets who fail take 3d10+4 direct magic damage and are Vulnerable until spotlighted.,Brain Drain,"Mark a Stress to choose a Vulnerable PC within Very Close range. The target marks 1d4 Stress, and the Deep Dweller clears an equal number of HP.",Call of the Deep,"Spend 2 Fear to summon 1d4 Cursed Merfolk, who appear at Far range and immediately take the spotlight.",Mucosal Contamination,"Make an attack roll against a PC within Very Close range. On a success, the Deep Dweller uses its tentacles to immobilize the target, sliming them with toxic sludge. The target is Restrained until they break free or slip out with a successful Strength or Finesse Roll. Each time the Deep Dweller is spotlighted, all PCs Restrained in this way take 3d8 direct physical damage. The Deep Dweller releases all creatures Restrained by it when it’s defeated or takes Severe damage. DEMON OF AVARICE Tier  Support A regal cloaked monstrosity with circular horns adorned with treasure. Motives & Tactics: Consume, fuel greed, sow dissent Diffi culty: 17 | Thresholds: 15/29 | HP: 6 | Stress: 5 ATK: +2 | Hungry Maw: Melee | 3d6+5 mag Experience: Manipulation +3 FEATURES",Money Talks,"Attacks against the Demon are made with disadvantage unless the attacker spends a handful of gold. This Demon starts with a number of handfuls equal to the number of PCs. When a target marks HP from the Demon’s standard attack, they can spend a handful of gold instead of marking HP (1 handful per HP). Add a handful of gold to the Demon for each handful of gold spent by PCs on this feature.",Numbers Must Go Up,Add a bonus to the Demon’s attack rolls equal to the number of handfuls of gold they have.,Money Is Time,Spend 3 handfuls of gold (or a Fear) to spotlight 1d4+1 allies.
Demon Of Despair,3,Skulk,"A cloaked demon-creature with long limbs, seeping shadows.","Make fear contagious, stick to the shadows,",17,18/35,6,5,+3,Miasma Bolt,Far,3d6+1 mag,Manipulation +3,Depths of Despair,The Demon deals double damage to PCs with 0 Hope.,Your Struggle Is Pointless,Spend a Fear to weigh down the spirits of all PCs within Far range. All targets aff ected replace their Hope Die with a d8 until they roll a success with Hope or their next rest.,Your Friends Will Fail You,"When a PC fails with Fear, you can mark a Stress to cause all other PCs within Close range to lose a Hope.",Momentum,"When the Demon makes a successful attack against a PC, you gain a Fear.",,,,,,
Demon Of Hubris,3,Leader,A perfectly beautiful and infi nitely cruel demon with a gleaming spear and elegant robes.,"Condescend, declare premature victory,",18,18/36,7,5,+4,Perfect Spear,Very Close,3d10 phy,Manipulation +2,Terrifying,"When the Demon makes a successful attack, all PCs within Far range must lose a Hope and you gain a Fear.",Double or Nothing,"When a PC within Far range fails a roll, they can choose to reroll their Fear Die and take the new result. If they still fail, they mark 2 Stress and the Demon clears a Stress.",Unparalleled Skill,Mark a Stress to deal the Demon’s standard attack damage to a target within Close range.,The Root of Villainy,Spend a Fear to spotlight two other Demons within Far range.,You Pale in Comparison,"When a PC fails a roll within Close range of the Demon, they must mark a Stress. Daggerheart SRD 133",,,,
Demon Of Jealousy,3,Ranged,A fi ckle creature of spindly limbs and insatiable desires.,"Join in on others’ success, take what belongs to",17,17/30,6,6,+4,Psychic Assault,Far,3d8+3 mag,Manipulation +3,Unprotected Mind,The Demon’s standard attack deals direct damage.,My Turn,"When the Demon marks HP from an attack, spend a number of Fear equal to the HP marked by the Demon to cause the attacker to mark the same number of HP.",Rivalry,"When a creature within Close range takes damage from a diff erent adversary, you can mark a Stress to add a d4 to the damage roll.",What’s Yours Is Mine,"When a PC takes Severe damage within Very Close range of the Demon, you can spend a Fear to cause the target to make a Finesse Reaction Roll. On a failure, the Demon seizes one item or consumable of their choice from the target’s inventory.",,,,,,
Demon Of Wrath,3,Bruiser,"A hulking demon with boulder-sized fi sts, driven by endless rage.","Fuel anger, impress rivals, wreak havoc",17,22/40,7,5,+3,Fists,Very Close,3d8+1 mag,Intimidation +2,Anger Unrelenting,The Demon’s attacks deal direct damage.,Battle Lust,Spend a Fear to boil the blood of all PCs within Far range. They use a d20 as their Fear Die until the end of the scene.,Retaliation,"When the Demon takes damage from an attack within Close range, you can mark a Stress to make a standard attack against the attacker.",Blood and Souls,"Countdown (Loop 6). Activate the fi rst time an attack is made within sight of the Demon. It ticks down when a PC takes a violent action. When it triggers, summon 1d4 Minor Demons, who appear at Close range. 134 Daggerheart SRD",,,,,,
