Name,Tier,Type,Description,Impulses,Difficulty,Potential Adversaries,Feature 1 Name,Feature 1 Text,Feature 1 Question,Feature 2 Name,Feature 2 Text,Feature 2 Question,Feature 3 Name,Feature 3 Text,Feature 3 Question,Feature 4 Name,Feature 4 Text,Feature 4 Question,Feature 5 Name,Feature 5 Text,Feature 5 Question,Feature 6 Name,Feature 6 Text,Feature 6 Question
Upscale Casino,3,Social,A glittering gambling hall where well-heeled merchants and nobles come to fritter away their fortunes.,"Dangle the jackpot just out of reach, dazzle them with spectacle, prey on their vices",16,"Automated Security (Vault Guardians), Gamblers (Courtesan, Merchant Baron, Petty Noble, Spy)",Glitz & Glamor - Passive,"The overwhelming spectacle of this place can entrance even the most jaded patron. While here, all PCs have disadvantage on reaction rolls caused by a staffmember or regular patron of the casino.",What’s so wondrous about the casino’s trappings? Are they truly magical in nature or merely mundane wonders taken to an impossible extreme?,Fortune Favors the Bold - Passive,"Once per long rest, a PC can gamble any amount of gold by stating how much they want to wager and rolling their Hope Die. On a result of 7 or higher, the PC wins an equal amount, doubling their money. On a result of 6 or lower, they lose it all.",What game does the PC choose to play? What house rules does this casino have? Is there anything besides gold the PCs are willing to risk?,The House Always Wins - Reaction,"When an adversary fails a roll, you can spend a Fear to make it a success instead.","Is this place blessed with impossible fortune, or does something curse anyone who steps through its doors?",Automated Security - Reaction,"When a PC attempts to cheat at a game in the casino and fails, they must mark a Stress as they activate the casino’s mechanical security detail. Gain a Fear and summon one Vault Guardian Gaoler and Turret for each PC, plus a Vault Guardian Sentinel. All adversaries appear within Far range of the PCs, and the Vault Guardian Sentinel immediately takes the spotlight.",Who built these machines? Why are they preferable to living beings?,The Devil’s Playground - Reaction,"If the PCs defeat the casino’s automated security or try to leave with stolen winnings, you can spend an amount of Fear equal to the number of PCs to summon the casino’s true owner, a Demon of Avarice, within Close range of a PC. The Demon is immediately spotlighted and bars the party’s exit at all costs.",How did the demon mask their influence until now? How does the casino itself change to reveal its true nature?,,,
Volcanic Eruption,3,Event,An explosion of heat and molten rock that leaves behind only charred desolation.,"Create panic all around, cut offthe exits, isolate, make them scramble for safety, split the party",16,"Elemental Spark, Lava Elemental (Greater Earth Elemental), Volcanic Dragon",Unstable Ground - Passive,"The ground here is uneven, prone to collapse, and constantly shifting. PCs who fail an Agility Roll to move must mark a HP and are temporarily Restrained.","What strange shapes and colors do the PCs see in the cooled lava? How do the people who live nearby keep their footing on the slick, shiny surface?",Violent Eruption - Action,"Spend a Fear to have the ground erupt at a point of your choice, spewing lava into the air and spreading it along the ground. All targets within Very Close range of that point lose a Hope and take 3d8+3 physical damage. The area within Very Close range of the eruption point becomes lava until the end of the scene. A creature who moves into or through the lava takes 3d8+3 physical damage. Until the end of the scene, you can spend a Fear to expand the lava area by one step (such as Very Close to Close or Close to Far).",What makes the lava seem alive? How can the PCs predict its behavior?,Vent Toxic Gas - Action,"Spend a Fear to open a fissure that belches out toxic gas at a point of your choice, creating a cloud that blankets everything within Far range. While inside the cloud, a PC must track their air supply with an Air Supply Countdown. Its starting value is equal to 3 + their tier, and it ticks down when they take an action. If a PC fails an action roll or rolls with Fear, you can use a GM move to tick down their countdown an additional time. If the roll is a failure with Fear, you can tick it down twice instead. Once the countdown ends, a PC must mark a Stress whenever they take an action within the gas until they escape the cloud.",What signs do you see to indicate the presence of toxic gas? What taste lingers in the mouths of the PCs who inhale the gas?,,,,,,,,,
Chaos Realm,4,Traversal,ws of reality are unstable and dangerous.,"Annihilate certainty, consume power, defy logic",20,"Outer Realms Monstrosities (Abomination, Corruptor, Thrall)",Impossible Architecture - Passive,"Up is down, down is right, right is starward. Gravity and directionality themselves are in flux, and any attempt to move through this realm is an odyssey unto itself, requiring a Progress Countdown (8). On a failure, a PC must mark a Stress in addition to the roll’s other consequences.",What does it feel like to move in a space so alien to the Mortal Realm? What landmark or point do you fixate on to maintain your balance? What bizarre landmarks do you traverse on your journey?,Everything You Are This Place Will Take from You - Action,"Countdown (Loop 1d4). Activate the countdown. When it triggers, all PCs must succeed on a Presence Reaction Roll or their highest trait is temporarily reduced by 1d4 unless they mark a number of Stress equal to its value. Any lost trait points are regained if the PC critically succeeds or escapes the Chaos Realm.",How does this place try to steal from you that which makes you legendary? What does it feel like to have this power taken from you?,Unmaking - Action,"Spend a Fear to force a PC to make a Strength Reaction Roll. On a failure, they take 4d10 direct magic damage. On a success, they must mark a Stress.",What glimpse of other worlds do you catch while this place tries to unmake you? What core facet of your personality does the unmaking try to erase?,Outer Realms Predators - Action,"Spend a Fear to summon an Outer Realms Abomination, an Outer Realms Corruptor, and 2d6 Outer Realms Thralls, who appear at Close range of a chosen PC in defiance of logic and causality. Immediately spotlight one of these adversaries, and you can spend an additional Fear to automatically succeed on that adversary’s standard attack.",What half-consumed remnants of the shattered world do these monstrosities cast aside in pursuit of living flesh? What jagged reflections of former personhood do you catch between moments of unquestioning malice?,Disorienting Reality - Reaction,"On a result with Fear, you can ask the PC to describe which of their fears the Chaos Realm evokes as a vision of reality unmakes and reconstitutes itself to the PC. The PC loses a Hope. If it is their last Hope, you gain a Fear.","What moment do they see? If it’s a memory, how is it warped by this place? How hard will it be to hold on to the real memory?",,,
"Convergence, City of Portals",4,Social,"A sprawling metropolis at the nexus of creation, where influential figures from across the realms gather.","Confront them with alien customs, dazzle them with infinite variety, tempt them with the impossible",20,"Power Players (Arch-Necromancer, Demon Lord Berzug, Fire Titan Warlord, High Seraph, Monarch, Oracle of Doom, Vampire Lord), Travelers and Residents (Any)",Impossibilities Abound - Passive,"Convergence is a nexus of gods, monsters, aliens, and all manner of dimension-hoppers. Because mortal life is generally beneath these beings’ concern, PCs have disadvantage on action rolls to influence them unless they have leverage against them or know what the NPC cares about.","What manner of being currently holds sway in the city? What strange customs do they practice? Which PC is most confused or offended by them, and which PC adopts these customs as their own?",Into the Multiverse - Passive,The city of Convergence has a portal or door to every realm of existence.,"Where (or when) does the party want to go? Where is that portal located, and who controls that area?",Infi nite Inventory - Passive,"This city has the solution to any problem, if you can find it. A PC seeking a particular item with wondrous properties can make an Instinct or Presence Roll to find it in the city’s pandimensional marketplace. • Critical Success: The PC finds the perfect item, and the merchant who has it only wants something the PC considers inconsequential in exchange. • Success with Hope: The PC finds the perfect item and can exchange something of equal value for it. • Success with Fear: The PC finds the perfect item, but the merchant who has it will only exchange it for something the party can’t give them... yet. • Any Failure: The PC must mark a Stress as they go on a wild goose chase but come up empty-handed. The PC can mark an additional Stress to change this result into a success with Fear.",Who has the item the party needs? What do they want in return?,Don’t Make Waves - Passive,"Countdown (6). Because anything is possible in Convergence, the city maintains a labyrinthine bureaucracy that issues and enforces ordinances regarding all exchanges and interactions between the realms. When the party arrives in Convergence, activate the countdown. It ticks down when a PC does something that upsets the city’s delicate political equilibrium. When it triggers, the PCs become Wanted until they clear their names with the authorities. When a Wanted PC rolls with Fear, you can summon 1d4 Temporal Enforcers who appear within Very Close range, immediately take the spotlight, and try to apprehend the party.",What has the party done (or what do they plan to do) that draws the attention and ire of the city officials? How can they fix the problem they caused?,An Off er You Can’t Refuse - Action,"Convergence is home to a tenuous network of rival factions. Spend a Fear to have one of them present the party with an easy solution to a difficult problem in exchange for their allegiance. If the party refuses, each PC must mark a Stress, and they can’t turn to that faction for help in the future.",Which faction offers the party their support? Who do they want the party to act against?,,,
Divine Usurpation,4,Event,A massive ritual designed to breach the gates of the Hallows Above and unseat the New Gods themselves.,"Collect power, overawe, silence dissent",20,"Arch-Necromancer, Fallen Shock Troops, Mortal Hunter, Oracle of Doom, Perfected Zombie",Final Preparations - Passive,"When the environment first takes the spotlight, designate one adversary as the Usurper seeking to overthrow the gods. Activate a Long-Term Countdown (8) as the Usurper assembles what they need to conduct the ritual. When it triggers, spotlight this environment to use the “Beginning of the End” feature. While this environment remains in play, you can hold up to 15 Fear.",What does the Usurper still require: The heart of a High Seraph? The lodestone of an ancient waygate? The loyalty of two archenemies? The heartbroken tears of a pure soul?,Divine Blessing - Passive,"When a PC critically succeeds, they can spend 2 Hope to refresh an ability normally limited by uses (such as once per rest, once per session).",What god favors you as you fight against this usurpation? How does your renewed power reflect their influence?,Defi lers Abound - Action,Spend 2 Fear to summon 1d4+2 Fallen Shock Troops that appear within Close range of the Usurper to assist their divine siege. Immediately spotlight the Shock Troops to use a “Group Attack” action.,Which High Fallen do these troops serve? Which god’s flesh do they wish to feast upon?,Godslayer - Action,"If the Divine Siege Countdown (see “Beginning of the End”) has triggered, you can spend 3 Fear to describe the Usurper slaying one of the gods of the Hallows Above, feasting upon their power and growing stronger. The Usurper clears 2 HP. Increase their Diffi culty, damage, attack modifier, or give them a new feature from the slain god.",Which god meets their end? What are their last words? How does the Usurper’s new stolen power manifest?,Beginning of the End - Reaction,"When the “Final Preparations” long-term countdown triggers, the Usurper begins hammering on the gates of the Hallows themselves. Activate a Divine Siege Countdown (10). Spotlight the Usurper to describe the Usurper’s assault and tick down this countdown by 1. If the Usurper takes Major or greater damage, tick up the countdown by 1. When it triggers, the Usurper shatters the barrier between the Mortal Realm and the Hallows Above to slay the gods and take their place. You gain a Fear for each unmarked HP the Usurper has. You can immediately use the “Godslayer” feature without spending Fear to make an additional GM move.",How does the Mortal Realm writhe as the natural order is violated? What mortals witness this blasphemy from afar?,Ritual Nexus - Reaction,"On any failure with Fear against the Usurper, the PC must mark 1d4 Stress from the backlash of magical power.",What visions of failures past torment you as your efforts fall short? How are these memories twisted by the Usurper?
Imperial Court,4,Social,"The majestic domain of a powerful empire, lavishly appointed with stolen treasures.","Justify and perpetuate imperial rule, seduce rivals with promises of power and comfort",20,"Bladed Guard, Courtesan, Knight of the Realm, Monarch, Spy",All Roads Lead Here - Passive,"While in the Imperial Court, a PC has disadvantage on Presence Rolls made to take actions that don’t fit the imperial way of life or support the empire’s dominance.",How does the way language is used make even discussing alternative ways of living difficult? What obvious benefits for loyalty create friction when you try to discuss alternatives?,Rival Vassals - Passive,"The PCs can find imperial subjects, vassals, and supplicants in the court, each vying for favor, seeking proximity to power, exchanging favors for loyalty, and elevating their status above others’. Some might be desperate to undermine their rivals, while others might even be open to discussions that verge on sedition.","How do they benefit from vassalage, and what has it cost them? What exploitation drives them to consider opposing the unstoppable?",The Gravity of Empire - Action,"Spend a Fear to present a PC with a golden opportunity or offer to satisfy a major goal in exchange for obeying or supporting the empire. The target must make a Presence Reaction Roll. On a failure, they must mark all their Stress or accept the offer. If they have already marked all their Stress, they must accept the offer or exile themselves from the empire. On a success, they must mark 1d4 Stress as they’re taxed by temptation.",What do the PCs want so desperately they might consider throwing in with this ruthless power? How did imperial agents learn the PC’s greatest desires?,Imperial Decree - Action,"Spend a Fear to tick down a long-term countdown related to the empire’s agenda by 1d4. If this triggers the countdown, a proclamation related to the agenda is announced at court as the plan is executed.",What display of power or transfer of wealth was needed to expedite this plan? Whose lives were disrupted or upended to make this happen?,Eyes Everywhere - Reaction,"On a result with Fear, you can spend a Fear to have someone loyal to the empire overhear seditious talk within the court. A PC must succeed on an Instinct Reaction Roll to notice that the group has been overheard so they can try to intercept the witness before the PCs are exposed.","How has the empire compromised this witness? Why is their first impulse to protect the empire, even if doesn’t treat them well?",,,
Moon Kingdom,4,Exploration,"The mysterious, luminous, and isolated ruins of a long-lost lunar kingdom that echoes with forgotten magic and ancient technology.","Blur the line between dream and reality, let consciousness ebb and flow like the tide, whisper echoes of ancient opulence",20,"Local Fauna (Cryptimoths, Yufos), Moon Queen’s Spirit (Arch-Necromancer), Reawakened Relics (Constructs, Vault Guardians)",Dreamlike Atmosphere - Passive,"Everything in the Moon Kingdom feels dreamlike and floaty. A leap carries you far, and the sound is muted. The air is full of an iridescent crystalline dust that shifts in response to thoughts or emotions and might record memories of the past or visions of the future. Once per scene, a PC can make an Instinct Roll to read the psychic impressions left by past events.",What ethereal scents or sensations do the PCs experience? How does the atmosphere affect the interactions between them?,Silent Ruins - Passive,The towering silver and blue architecture of the capital is undamaged but overgrown with bioluminescent flora that pulses in time with the lunar tides. A PC who succceeds on a Finesse Roll can harvest a moon plant without killing it. A PC who eats one or more living moon plants gains a +1 bonus to Spellcast Rolls until their next long rest.,"What earth flora do these moon plants look like? What do they taste like, and how do they affect the eater physically?",Lunar Astrologium - Passive,"Atop the highest tower in the capital city sits a crystal dream machine that can replay history. A PC who succeeds on a Knowledge Roll can repair the machine. Once the machine is repaired, a PC who succeeds on a Presence Roll can operate it to learn the history of the Moon Kingdom’s rise and fall. • Critical Success: The PC receives clear information about key events and figures in the Moon Kingdom’s history and gains 1d4 Hope, which they can distribute among PCs they share their visions with. • Success with Hope: The PC receives clear information about key events and figures in the Moon Kingdom’s history. • Any roll with Fear: The PC receives brief flashes and sensations related to the kingdom’s cataclysmic end. If the roll was a failure, the PC takes 4d10+5 magic damage as the visions assault their psyche.","What does this machinery look like, and how does it work? What do the PCs learn about the Moon Kingdom’s history?",The Moon Queen’s Tomb - Reaction,"The Moon Kingdom’s final ruler has been preserved in a selenite coffin deep within the citadel. On a roll with Fear to investigate her chamber, her baleful shade awakens and attacks the party. Summon the Moon Queen’s Spirit (Arch-Necromancer) next to her coffin and immediately spotlight her.","Who buried her here, and why? Can she be resurrected, or is destroying her spirit the only path forward?",,,,,,
Necromancer’s Ossuary,4,Exploration,"A dusty crypt with a library, twisting corridors, and abundant sarcophagi, spattered with the blood of ill-fated invaders.","Confound intruders, delve into secrets best left buried, manifest unlife, unleash a tide of undead",19,"Arch-Necromancer’s Host (Perfected Zombie, Zombie Legion)",No Place for the Living - Passive,"A feature or action that clears HP requires spending a Hope to use. If it already costs Hope, a PC must spend an additional Hope.",What does it feel like to try to heal in a place so antithetical to life?,Centuries of Knowledge - Passive,"A PC can investigate the library and laboratory and make a Knowledge Roll to learn information related to arcana, local history, and the Necromancer’s plans.",What are the names of the tomes? What project is the necromancer working on and what does it communicate about their plans?,Skeletal Burst - Action,All targets within Close range of a point you choose in this environment must succeed on an Agility Reaction Roll or take 4d8+8 physical damage from skeletal shrapnel as part of the ossuary detonates around them.,What ancient skeletal architecture is destroyed? What bones stick in your armor?,Aura of Death - Action,"Once per scene, roll a d4. Each undead within Far range of the Necromancer can clear HP and Stress equal to the result rolled. The undead can choose how that number is divided between HP and Stress.","How does their renewed vigor manifest? Do they look more lifelike or, paradoxically, are they more decayed but vigorous?",They Just Keep Coming! - Action,"Spend a Fear to summon 1d6 Rotted Zombies, two Perfected Zombies, or a Zombie Legion, who appear at Close range of a chosen PC.",Who were these people before they became the necromancer’s pawns? What vestiges of those lives remain for the heroes to see?,,,
Realm of the Dead,4,Traversal,A seemingly infinite expanse of still water without color or laughter.,"Drown in despair, leech life, tempt into endless slumber",20,Any (see “Death-Touched Denizens”),Sea of Gloom - Passive,"This realm is a boundless silver ocean blanketed in a gray gloom with no visible stars or horizon. The subtle current pulls inexorably at the PCs’ legs, but it’s too gentle to disturb the flat, mirrored surface of the water. Action rolls to navigate this realm have disadvantage.","What dangers lie below the surface? How does one find the edge of a world without end, and what lies beyond it?",The Burden of Wakefulness - Passive,"It’s impossible to sleep here. When the party rests, each PC can choose only one downtime move.",What thoughts keep the PCs awake here? How can they support one another without succumbing to hopelessness themselves?,Death-Touched Denizens - Passive,"All mortal creatures eventually pass through this place on their journey to the other side, but those who linger or wander become warped and mutated by the gloom. Any adversaries the party encounters here are Faded. Describe how their time here has warped them into something worse than dead. When a PC takes damage from a Faded adversary’s attack, they must also mark a Stress. If a PC is defeated here, they become a Faded adversary controlled by the GM instead of making a death move. Why do these creatures refuse to move on?",Is there any pattern to the forms the gloom fades them into?,The Chill of Death - Action,"Spend a Fear to force a PC to make a Presence Reaction Roll as the Sea of Gloom leeches the warmth from their blood and bones. On a failure, they take 4d10 direct magic damage. On a success, they must mark a Stress.",What does it feel like to have the will to live forcibly drained from you? How do you focus through the despair?,Abandon All Hope - Reaction,"When a PC spends Hope in the Realm of the Dead, they must roll a d6. On an odd result, they must spend an additional Hope or lose the benefit of the Hope they already spent.",What regrets gnaw at the edge of your consciousness while you’re here? What memories still tether you to the Mortal Realm?,,,
Time Court,4,Event,One or more PCs are forcibly plucked from the timeline and put on trial for crimes against continuity.,"Find the truth, mete out justice, nullify their powers",20,"Judge (Monarch), Jury (Hallowed Choir), Executioners (Temporal Enforcers)",Out of Time - Passive,"The trial takes place in a pocket dimension that exists beyond the influence of the other realms. While here, PCs can’t use their features and abilities. Each player must put their Domain cards in their vault.",What besides the courtroom resides in this pocket dimension? What powers maintain the universal barrier protecting this place?,Trial by Jury - Passive,"At the end of the proceedings, a jury votes whether to acquit or convict the party. When the court is called to order, have the prosecution present its case against the PCs and start a Countdown (9). It ticks down when a PC makes an action roll. When it triggers, the PCs and GM roll their Judgment Dice. If the party’s total result meets or exceeds the GM’s, the jury acquits them.",Which PCs are put on trial? What are they accused of? What potential penalties would a guilty verdict bring?,Counsel for the Defense - Passive,"A PC can make an action roll to argue for their innocence (such as a Knowledge Roll to interpret the letter of the law, a Presence Roll to play on the jury’s emotions, or an Instinct Roll to point out holes in the prosecution’s case). On a success, the party gains a d6 Judgment Die. On a critical success, they gain two. On a failure, the prosecution rebuts the PC’s argument, and you gain a d6 Judgment Die.",What is the weakest part of the prosecution’s case? What is the strongest part of the party’s defense?,Counsel for the Prosecution - Action,"The prosecution introduces a damning piece of evidence (such as an eyewitness testimony, test results, or a physical exhibit taken from the scene of the crime), and you gain a d6 Judgment Die. A PC can mark a Stress to attempt a rebuttal of the evidence with a Knowledge, Instinct, or Presence Reaction Roll. On a success, the party gains the Judgment Die instead of you. On a failure, you gain an additional d6 Judgment Die.","Who leads the prosecution, and what is their relationship to the Time Council? What magic or technology does this court rely on to present and record evidence?",“Order in the Court!” - Reaction,"When the PCs attempt to escape or end the trial through force, summon a number of Temporal Enforcers equal to the number of PCs in the scene within Close range and immediately spotlight one.",Is this court’s authority worthy of respect? What besides the might of the Time Council and its enforcers justifies their control over the timeline?,,,
